นิติบุคคลจัดตั้งเดือนมีนาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
287,0123559001217,หจ.เกียงฉาบ ก่อสร้าง,3/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง ทุกชนิด,41/454 หมู่ที่ 11  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
288,0123559001306,หจ.หวานเจี๊ยบเฟอร์นิเจอร์,10/3/2559," 1,000,000 ",47591,จำหน่ายเฟอร์นิเจอร์ทุกชนิดทั้งปลีกและส่งรับจ้างทำเฟอร์นิเจอร์โต๊ะทำงาน เก้าอี้และเครื่องใช้สำนักงาน,99/4 หมู่ที่ 10  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
289,0123559001381,หจ.สเปเชียล แอดไวเซอร์ แอนด์ ก๊อปปี้ไรท์,16/3/2559," 1,000,000 ",70209,ประกอบกิจการ รับให้คำปรึกษาเกี่ยวกับทรัพย์สินทางปัญญา,94/4 หมู่ที่ 9 ถนนบางกรวย-ไทรน้อย  ต.บางเลน อ.บางใหญ่ จ.นนทบุรี 11140
290,0123559001471,หจ.เอ็นเอ็น27,18/3/2559," 1,000,000 ",70100,ประกอบกิจการธุรกิจรับเป็นผู้บริหารงานเกี่ยวกับด้านพาณิชยกรรม การตลาดและจัดจำหน่าย,56/103 หมู่ที่ 1  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
291,0125559006156,บจ.จันทกานต์ เฟอร์นิเจอร์ จำกัด,1/3/2559," 1,000,000 ",46494,ขายเฟอร์นิเจอร์,7/11 หมู่ที่ 10  ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140
292,0125559006288,บจ.อิเล็คทริค  แอนด์  อินดั๊กชั่น  เซอร์วิส จำกัด,2/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้างต่อเติม อาคาร อาคารพาณิชย์,12/13 หมู่ที่ 3  ต.บางม่วง อ.บางใหญ่ จ.นนทบุรี 11140
293,0125559006296,บจ.ไบโอโซน แล๊ป จำกัด,2/3/2559," 1,000,000 ",20232,ผลิตและจำหน่ายเครื่องสำอาง,9/361 หมู่ที่ 8  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
294,0125559006326,บจ.เค ภักดีเซอร์วิส จำกัด,2/3/2559," 1,000,000 ",46639,ประกอบกิจการค้าวัสดุอุปกรณ์เครื่องมือเครื่องใช้ในการก่อสร้าง,2/31 หมู่ที่ 5  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
295,0125559006342,บจ.ซอฟต์เทอนิตี้ จำกัด,2/3/2559," 1,000,000 ",58202,ประกอบกิจการทำซอฟต์แวร์สำเร็จรูป,89/26 หมู่บ้านเพอร์เฟคพาร์ค หมู่ที่ 3  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
296,0125559006393,บจ.ครัวชายคลอง จำกัด,3/3/2559," 1,000,000 ",56101,ประกอบกิจการจำหน่าย อาหารที่ปรุงขึ้นพร้อมบริโภคทันที เครื่องดื่ม เช่น น้ำอัดลม น้ำเปล่า น้ำแข็ง,16/8 หมู่ที่ 11 ถนนกาญจนาภิเษก  ต.บางม่วง อ.บางใหญ่ จ.นนทบุรี 11140
297,0125559006431,บจ.เคเอส โฮม บิวดิ้ง จำกัด,3/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้างทั่วไป,69/101 หมู่ที่ 10  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
298,0125559006547,บจ.ลองจร สเตชั่น จำกัด,4/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารพาณิชย์ อาคารที่พักอาศัย และงานก่อสร้างอย่างอื่นทุกชนิด,76/71  ต.บางเลน อ.บางใหญ่ จ.นนทบุรี 11140
299,0125559006792,บจ.ดีเอ็มเอช ดีเวลลอปเม้นท์ จำกัด,7/3/2559," 1,000,000 ",20221,ผลิตและจำหน่าย สีอีฟ๋อกซี่ สีพื้นสนามกีฬา อุตสาหกรรม,40/250 หมู่ที่ 11  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
300,0125559006857,บจ.ทีพีแอลเมเนจเม้นท์ จำกัด,8/3/2559," 1,000,000 ",68104,ประกอบกิจการบริหารพื้นที่รวมทั้งจัดหาและให้เช่าทรัพย์สิน,5/11 หมู่ที่ 2  ต.บางม่วง อ.บางใหญ่ จ.นนทบุรี 11140
301,0125559007276,บจ.ไทเกอร์ มีเดีย เน็ทเวิร์ค จำกัด,10/3/2559," 1,000,000 ",59112,ประกอบกิจการรับจ้างทำรายการโทรทัศน์ จัดกิจกรรมเพื่อการประชาสัมพันธ์ผลงานขององค์กรหรือหน่วยงานต่างๆ,20/134 หมู่ที่ 10  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
302,0125559007357,บจ.เซฟ แอร์ 380 จำกัด,11/3/2559," 1,000,000 ",46599,จำหน่ายเครื่องปรับอากาศ เครื่องไฟฟ้า อุปกรณ์ อะไหล่ทุกชนิด บริการติดตั้ง ซ่อมแซม บำรุงรักษา,73/380 หมู่ที่ 4  ต.บางใหญ่ อ.บางใหญ่ จ.นนทบุรี 11140
303,0125559007730,บจ.วีรวิชญ์ (2016) จำกัด,16/3/2559," 1,000,000 ",78109,ประกอบกิจการจัดหางานให้คนหางานทำงานในต่างประเทศ,53/3 หมู่บ้านบางใหญ่ซิตี้เซ็นเตอร์ หมู่ที่ 6  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
304,0125559007764,บจ.ท็อป เอ็น 59 จำกัด,16/3/2559," 1,000,000 ",47612,จำหน่ายสินค้าอุปกรณ์การศึกษา,98/176 หมู่ที่ 10  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
305,0125559007900,บจ.เอ็น เพาเวอร์ซิสเต็ม จำกัด,18/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,9/30 หมู่ที่ 5  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
306,0125559007934,บจ.นิติธุรกิจ จำกัด,18/3/2559," 1,000,000 ",69100,ประกอบกิจการทางการกฎหมาย,127/38 หมู่ที่ 5 ถนนกาญจนาภิเษก  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
307,0125559008001,บจ.เอส.ยู.เอ็น ลัคกี้ จำกัด,18/3/2559," 1,000,000 ",86902,ประกอบกิจการให้บริการด้านกายภาพบำบัด,72/110 หมู่ที่ 15  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
